NAV_Date,UTI_Bond,AdityaBirla_Debt,HDFC_Debt,SBI_Debt
31-01-2013,1.0159,1.0079,1.0074,1.0089
28-02-2013,1.0029,1.0051,1.0037,0.9854
31-03-2013,1.0084,1.0117,1.0079,1.0045
30-04-2013,1.0201,1.0099,1.0125,1.0208
31-05-2013,1.0228,1.0126,1.0086,1.002
28-06-2013,0.9903,1.0012,0.9997,0.9901
31-07-2013,0.9718,0.9862,0.9783,0.9683
30-08-2013,0.9781,0.9986,0.9956,0.9847
30-09-2013,0.9998,1.016,1.0174,1.0255
31-10-2013,1.0172,1.0155,1.0137,1.0282
29-11-2013,0.9908,1.0052,1.0059,0.9948
31-12-2013,0.9992,1.0075,1.0061,1.0044
31-01-2014,1.0064,1.0064,1.006,0.9935
28-02-2014,0.999,1.0052,1.005,1.0155
31-03-2014,1.0141,1.0119,1.0124,1.0293
30-04-2014,1.016,1.009,1.0083,1.0081
30-05-2014,1.0181,1.0119,1.0121,1.03
30-06-2014,1.0098,1.0088,1.0067,1.0096
31-07-2014,0.9996,1.0041,1.0051,1.0012
28-08-2014,1.0055,1.0055,1.0054,1.0164
30-09-2014,1.0069,1.0086,1.0084,1.0025
31-10-2014,1.0237,1.0128,1.0136,1.0255
28-11-2014,1.0166,1.0098,1.0086,1.0153
31-12-2014,1.0184,1.0081,1.0073,0.9973
30-01-2015,1.0221,1.0101,1.0124,1.0231
27-02-2015,1.0006,1.0061,1.0032,0.9996
31-03-2015,1.002,1.0078,1.0059,0.9964
30-04-2015,0.9958,1.0042,1.0011,0.9966
29-05-2015,1.0035,1.0062,1.0053,1.0072
30-06-2015,0.9929,1.0034,0.9999,1.0024
31-07-2015,1.0102,1.0112,1.0089,1.0092
31-08-2015,1.0076,1.0069,1.0057,0.9935
30-09-2015,1.019,1.0116,1.0108,1.0114
30-10-2015,1.0032,1.0074,1.0053,1.0048
30-11-2015,0.9923,1.0028,1.001,1.0003
31-12-2015,0.9999,1.0032,1.0028,0.9987
29-01-2016,1.0014,1.004,1.0036,1.0085
29-02-2016,0.9985,1.0021,1.0016,1.0059
31-03-2016,1.0116,1.0167,1.0161,1.0138
29-04-2016,1.0059,1.0069,1.0063,1.0065
31-05-2016,1.0031,1.0054,1.0048,1.0072
30-06-2016,1.0099,1.0093,1.0087,1.0136
29-07-2016,1.0281,1.0124,1.0175,1.0056
31-08-2016,1.0107,1.0103,1.0089,1.0113
30-09-2016,1.0144,1.0084,1.0121,1.0102
28-10-2016,0.9999,1.0053,1.0055,1.0054
30-11-2016,1.0533,1.0179,1.0205,1.0247
30-12-2016,0.9795,0.9943,0.9926,0.9998
