NAV,NAV date
12.61,04-Apr-14
12.64,07-Apr-14
12.81,09-Apr-14
12.82,10-Apr-14
12.81,11-Apr-14
12.73,15-Apr-14
12.62,16-Apr-14
12.79,17-Apr-14
12.83,21-Apr-14
12.86,22-Apr-14
12.95,23-Apr-14
12.85,25-Apr-14
12.85,28-Apr-14
12.76,29-Apr-14
12.73,30-Apr-14
12.73,02-May-14
12.7,05-May-14
12.72,06-May-14
12.63,07-May-14
12.64,08-May-14
12.97,09-May-14
13.18,12-May-14
13.31,13-May-14
13.27,14-May-14
13.22,15-May-14
13.38,16-May-14
13.45,19-May-14
13.55,20-May-14
13.54,21-May-14
13.63,22-May-14
13.77,23-May-14
13.78,26-May-14
13.78,27-May-14
13.78,28-May-14
13.7,29-May-14
13.72,30-May-14
14.02,02-Jun-14
14.09,03-Jun-14
14.09,04-Jun-14
14.21,05-Jun-14
14.45,06-Jun-14
14.61,09-Jun-14
14.6,10-Jun-14
14.49,11-Jun-14
14.59,12-Jun-14
14.36,13-Jun-14
14.33,16-Jun-14
14.49,17-Jun-14
14.48,18-Jun-14
14.4,19-Jun-14
14.34,20-Jun-14
14.38,23-Jun-14
14.52,24-Jun-14
14.45,25-Jun-14
14.43,26-Jun-14
14.46,27-Jun-14
14.62,30-Jun-14
14.74,01-Jul-14
14.92,02-Jul-14
14.96,03-Jul-14
15,04-Jul-14
15.05,07-Jul-14
14.64,08-Jul-14
14.48,09-Jul-14
14.52,10-Jul-14
14.21,11-Jul-14
14.26,14-Jul-14
14.42,15-Jul-14
14.62,16-Jul-14
14.76,17-Jul-14
14.8,18-Jul-14
14.83,21-Jul-14
14.89,22-Jul-14
14.87,23-Jul-14
14.91,24-Jul-14
14.85,25-Jul-14
14.72,28-Jul-14
14.85,30-Jul-14
14.72,31-Jul-14
14.51,01-Aug-14
14.59,04-Aug-14
14.71,05-Aug-14
14.66,06-Aug-14
14.6,07-Aug-14
14.43,08-Aug-14
14.56,11-Aug-14
14.71,12-Aug-14
14.63,13-Aug-14
14.76,14-Aug-14
14.98,18-Aug-14
15.1,19-Aug-14
15.11,20-Aug-14
15.17,21-Aug-14
15.2,22-Aug-14
15.16,25-Aug-14
15.12,26-Aug-14
15.2,27-Aug-14
15.25,28-Aug-14
15.42,01-Sep-14
15.52,02-Sep-14
15.58,03-Sep-14
15.57,04-Sep-14
15.56,05-Sep-14
15.75,08-Sep-14
15.76,09-Sep-14
15.68,10-Sep-14
15.77,11-Sep-14
15.78,12-Sep-14
15.72,15-Sep-14
15.35,16-Sep-14
15.39,17-Sep-14
15.71,18-Sep-14
15.8,19-Sep-14
15.8,22-Sep-14
15.52,23-Sep-14
15.5,24-Sep-14
15.27,25-Sep-14
15.38,26-Sep-14
15.41,29-Sep-14
15.39,30-Sep-14
15.45,01-Oct-14
15.21,07-Oct-14
15.14,08-Oct-14
15.4,09-Oct-14
15.1,10-Oct-14
15.22,13-Oct-14
15.13,14-Oct-14
14.85,16-Oct-14
14.94,17-Oct-14
15.12,20-Oct-14
15.3,21-Oct-14
15.53,22-Oct-14
15.54,27-Oct-14
15.57,28-Oct-14
15.7,29-Oct-14
15.74,30-Oct-14
15.98,31-Oct-14
16,03-Nov-14
16.06,05-Nov-14
16.16,07-Nov-14
16.19,10-Nov-14
16.32,11-Nov-14
16.44,12-Nov-14
16.43,13-Nov-14
16.61,14-Nov-14
16.76,17-Nov-14
16.77,18-Nov-14
16.69,19-Nov-14
16.75,20-Nov-14
16.9,21-Nov-14
16.98,24-Nov-14
16.8,25-Nov-14
16.77,26-Nov-14
16.79,27-Nov-14
16.98,28-Nov-14
16.93,01-Dec-14
16.97,02-Dec-14
17.05,03-Dec-14
17.15,04-Dec-14
17.08,05-Dec-14
16.92,08-Dec-14
16.65,09-Dec-14
16.67,10-Dec-14
16.62,11-Dec-14
16.53,12-Dec-14
16.58,15-Dec-14
16.2,16-Dec-14
16.15,17-Dec-14
16.49,18-Dec-14
16.59,19-Dec-14
16.74,22-Dec-14
16.7,23-Dec-14
16.58,24-Dec-14
16.63,26-Dec-14
16.8,29-Dec-14
16.78,30-Dec-14
16.9,31-Dec-14
16.88,01-Jan-15
17.1,02-Jan-15
17.08,05-Jan-15
16.6,06-Jan-15
16.57,07-Jan-15
16.84,08-Jan-15
16.85,09-Jan-15
16.9,12-Jan-15
16.88,13-Jan-15
16.86,14-Jan-15
17.24,15-Jan-15
17.24,16-Jan-15
17.34,19-Jan-15
17.55,20-Jan-15
17.67,21-Jan-15
17.75,22-Jan-15
17.86,23-Jan-15
18.2,27-Jan-15
18.23,28-Jan-15
18.23,29-Jan-15
17.94,30-Jan-15
17.93,02-Feb-15
17.83,03-Feb-15
17.75,04-Feb-15
17.79,05-Feb-15
17.66,06-Feb-15
17.38,09-Feb-15
17.53,10-Feb-15
17.69,11-Feb-15
17.85,12-Feb-15
18.07,13-Feb-15
18.09,16-Feb-15
18.24,18-Feb-15
18.33,19-Feb-15
18.22,20-Feb-15
18.05,23-Feb-15
18.07,24-Feb-15
18.06,25-Feb-15
17.9,26-Feb-15
18.19,27-Feb-15
18.65,02-Mar-15
18.79,03-Mar-15
18.62,04-Mar-15
18.68,05-Mar-15
18.37,09-Mar-15
18.34,10-Mar-15
18.29,11-Mar-15
18.49,12-Mar-15
18.28,13-Mar-15
18.12,16-Mar-15
18.27,17-Mar-15
18.22,18-Mar-15
18.11,19-Mar-15
18.1,20-Mar-15
17.98,23-Mar-15
17.87,24-Mar-15
17.88,25-Mar-15
17.58,26-Mar-15
17.67,27-Mar-15
17.96,30-Mar-15
17.96,31-Mar-15
18.21,01-Apr-15
18.31,06-Apr-15
18.3,07-Apr-15
18.36,08-Apr-15
18.35,09-Apr-15
18.28,10-Apr-15
18.29,13-Apr-15
18.15,15-Apr-15
17.99,16-Apr-15
17.63,17-Apr-15
17.36,20-Apr-15
17.28,21-Apr-15
17.28,22-Apr-15
17.18,23-Apr-15
16.92,24-Apr-15
16.7,27-Apr-15
16.95,28-Apr-15
17.01,29-Apr-15
16.98,30-Apr-15
17.2,04-May-15
17.22,05-May-15
16.69,06-May-15
16.56,07-May-15
16.87,08-May-15
17.12,11-May-15
16.78,12-May-15
17.02,13-May-15
17.05,14-May-15
17.27,15-May-15
17.49,18-May-15
17.5,19-May-15
17.64,20-May-15
17.67,21-May-15
17.7,22-May-15
17.59,25-May-15
17.65,26-May-15
17.65,27-May-15
